coin,bars,strategy,adx_min,rsi_period,sl_pct,tp_pct,trades,win_rate,sharpe,total_return_pct,max_dd_pct,avg_hold_hours,profit_factor
FIL,11551,TREND_RSI,25,14,0.03,0.12,14,57.1%,4.985487282630253,18.211832369219607,2.5167318814566486,21.714285714285715,4.919332161497377
AVAX,11982,TREND_RSI,25,14,0.03,0.12,11,54.5%,4.210871124807671,13.098558457189394,4.868595196637459,21.818181818181817,2.913912160374356
CITY,7578,ADX_RSI,25,14,0.03,0.08,10,80.0%,3.7855283201084595,5.612386329703104,1.6104595105369233,24.4,1.5610125002757784
